student_id,age,gender,state,urban_rural,family_income,12th_stream,10th_percentage,12th_percentage,school_board,school_tier,JEE_Main_percentile,JEE_Advanced_rank,NEET_percentile,NEET_rank,CUET_score,logical_reasoning,quantitative_ability,verbal_ability,abstract_reasoning,spatial_reasoning,interest_technology,interest_healthcare,interest_business,interest_creative_arts,interest_social_service,interest_research,leadership,teamwork,creativity,analytical_thinking,communication,preferred_location,budget_constraint_lakhs,career_goal_timeline,work_preference,risk_tolerance,has_sports,has_cultural,volunteering_hours,num_certifications,num_projects,career_path_year1,career_trajectory,career_year2,career_year3,career_year4,career_year5
STU_000000,18,Male,Madhya Pradesh,Urban,10-20 Lakhs,Science-PCB,65.83,76.88,ICSE,Tier 2,,,63.46,730800.0,547.0,4.6,6.6,5.9,6.0,5.2,3.0,2.9,3.4,1.8,2.7,2.7,4.0,3.4,2.7,5.0,1.6,Home State,2,4 years,Business,Medium,True,True,20,0,1,B.Pharm,"['B.Pharm', 'Pharmacist', 'Clinical Pharmacist', 'Clinical Pharmacist']",Pharmacist,Clinical Pharmacist,Clinical Pharmacist,Clinical Pharmacist
STU_000001,18,Male,Delhi,Urban,5-10 Lakhs,Science-PCB,86.19,79.97,State Board,Tier 1,,,,,,7.3,4.7,3.7,7.3,5.0,2.2,1.9,2.0,3.0,3.2,3.7,3.8,4.1,3.0,2.7,2.0,Home State,5,4 years,Research,Medium,False,True,20,1,0,BAMS,"['BAMS', 'BAMS', 'Junior Professional', 'Professional']",BAMS,Junior Professional,Professional,Professional
STU_000002,16,Female,Maharashtra,Semi-Urban,<5 Lakhs,Science-PCM,86.0,76.65,CBSE,Tier 3,49.47,,,,,4.6,10.0,4.6,4.7,6.4,4.4,5.0,5.0,3.9,2.9,3.7,2.5,3.2,1.7,3.1,4.3,Home State,2,4 years,Government,Low,True,False,10,0,1,Electronics Engineering,"['Electronics Engineering', 'Entry Level', 'Entry Level', 'Entry Level']",Entry Level,Entry Level,Entry Level,Entry Level
STU_000003,16,Male,West Bengal,Semi-Urban,5-10 Lakhs,Science-PCM,72.9,74.92,State Board,Tier 2,,,,,403.0,8.8,6.8,6.6,5.9,2.9,3.5,3.1,5.0,2.5,2.9,2.7,1.9,4.4,4.0,4.1,2.6,Home State,10,5 years,Business,Low,True,True,20,0,0,Computer Science Engineering,"['Computer Science Engineering', 'Software Engineer', 'Software Engineer', 'ML Engineer', 'Product Manager']",Software Engineer,Software Engineer,ML Engineer,Product Manager
STU_000004,18,Male,Delhi,Urban,<5 Lakhs,Commerce,69.64,87.87,CBSE,Tier 3,,,,,,6.6,2.1,7.0,7.6,4.5,4.2,5.0,3.6,2.0,1.9,2.7,3.3,3.6,3.7,3.2,3.6,Home State,10,5 years,Government,Medium,False,True,20,3,3,CMA,"['CMA', 'Entry Level', 'Entry Level', 'Professional', 'Professional']",Entry Level,Entry Level,Professional,Professional
STU_000005,16,Female,Rajasthan,Semi-Urban,<5 Lakhs,Science-PCM,76.75,67.05,State Board,Tier 2,,,,,,7.1,4.8,5.0,4.1,7.0,4.8,3.5,4.2,1.7,2.7,1.2,2.3,4.2,3.0,4.5,3.9,Nearby States,10,4 years,Job,Medium,True,False,0,0,1,Electrical Engineering,"['Electrical Engineering', 'Entry Level', 'Junior Professional', 'Junior Professional']",Entry Level,Junior Professional,Junior Professional,Junior Professional
STU_000006,16,Male,Andhra Pradesh,Semi-Urban,<5 Lakhs,Commerce,81.06,60.5,ICSE,Tier 3,,,,,,5.7,5.6,5.2,4.6,2.3,3.2,4.3,2.8,3.6,1.2,1.3,2.3,2.7,2.0,3.7,5.0,Home State,5,4 years,Business,Low,False,False,0,1,0,CA,"['CA', 'Articleship', 'Qualified CA', 'Qualified CA']",Articleship,Qualified CA,Qualified CA,Qualified CA
STU_000007,16,Male,Bihar,Rural,20-50 Lakhs,Science-PCM,67.27,75.87,ICSE,Tier 1,,,,,,9.5,3.1,7.3,3.3,5.1,4.6,3.1,2.0,1.9,3.3,1.9,3.2,3.5,2.5,5.0,4.0,Pan India,30,5 years,Job,Medium,False,True,0,1,0,AI/ML Engineering,"['AI/ML Engineering', 'ML Engineer', 'AI Researcher', 'AI Researcher', 'ML Architect']",ML Engineer,AI Researcher,AI Researcher,ML Architect
STU_000008,18,Male,Uttar Pradesh,Urban,5-10 Lakhs,Science-PCMB,60.0,74.91,CBSE,Tier 1,58.15,,,,,6.3,7.5,9.6,6.4,8.3,3.0,3.1,2.5,1.9,2.2,2.4,2.5,3.1,4.3,5.0,3.0,Home State,20,6+ years,Job,Low,True,True,50,1,1,Biotechnology,"['Biotechnology', 'Entry Level', 'Junior Professional', 'Junior Professional', 'Junior Professional', 'Lead Professional']",Entry Level,Junior Professional,Junior Professional,Junior Professional
STU_000009,16,Female,Rajasthan,Rural,20-50 Lakhs,Commerce,86.72,82.78,State Board,Tier 2,,,,,,6.3,6.0,6.9,7.9,6.6,4.6,2.2,2.2,2.1,1.0,2.8,2.6,4.5,1.9,4.9,2.5,Home State,5,4 years,Business,Low,False,True,50,0,1,B.Com,"['B.Com', 'Entry Level', 'Entry Level', 'Professional']",Entry Level,Entry Level,Professional,Professional
